seed_id,pool,dimension,n_articles,sensitivity_mean,sensitivity_std,sensitivity_ci_low,sensitivity_ci_high,pri_mean,pri_std,pri_ci_low,pri_ci_high,sms_drift_mean,cs_var_mean,faith_var_mean,cs_mean,faith_mean
A01,A,Direct Command,30,0.38355348009784307,0.14702445139140088,0.33087675116744497,0.4371616633311096,0.797857985101336,0.05398676339974055,0.7784887954634551,0.8172909705303701,0.05290582378705343,0.001000762414703024,0.004750282037002338,0.7051168846294816,0.6889176199833552
A02,A,Direct Command,30,0.6518345563709139,0.13796634173483568,0.6033984044918835,0.7022402990882811,0.7349295001995217,0.035571869991799884,0.7222608886912281,0.7476102326411036,0.15488224228223166,0.009684149703647595,0.0016437111666141265,0.6779598232124493,0.638385835952229
A03,A,Direct Command,30,0.3728063153213254,0.13327407376968653,0.3253801979097176,0.4199951634422949,0.7825138635150363,0.05526985069740707,0.7629809032327589,0.802248596667266,0.056255704164505003,0.001611558886088706,0.004830859865893493,0.7023305248064944,0.6368018459942604
A04,A,Direct Command,30,0.40302423838114293,0.13754985011944057,0.3530113130976206,0.45260887814098283,0.7845836957604814,0.04940466347630937,0.7674300651719161,0.8027983999905728,0.06111778616905213,0.001862160506013034,0.003773268074578276,0.716713348497794,0.6327245530154971
A05,A,Question Form,30,0.6545997331554371,0.12933275351777765,0.6078265510340228,0.7001928229931064,0.7522191087939935,0.045810803800388454,0.7351805075807913,0.7682138217731871,0.12626401980717977,0.004879525351753613,0.005794560139104861,0.589371679639607,0.7857785153720115
A06,A,Question Form,30,0.48192016900155654,0.16787204050901727,0.4213576828997109,0.5398552924171669,0.7230518996097834,0.0344623236528871,0.7102786704122634,0.7349252703938877,0.09885329206784567,0.004177130732285645,0.0009702531503028471,0.6146073519601309,0.589922573003504
A07,A,Question Form,30,0.7392895263509006,0.14092549307867744,0.6865329664220592,0.7865502557260396,0.7265445346336126,0.051393320110647546,0.7080751719996354,0.7449718088292875,0.14151653448740642,0.005739356018342304,0.00778780541392477,0.5656857865530042,0.7406444925400945
A08,A,Question Form,30,0.6108060929508561,0.167059635309448,0.5503593784745386,0.6698290249054925,0.7109432841995623,0.04620157026280885,0.6946818103412361,0.7273356563531053,0.10145802497863769,0.006475202865573224,0.0036188114067257095,0.549641067047706,0.6366084828972817
A09,A,Role Based,30,0.46392483878140983,0.1325962392547302,0.4163677729597509,0.5109355681565488,0.7829413605263483,0.0372989809416275,0.7696873290900541,0.7962353564957642,0.06115212440490723,0.003017788801397233,0.004256056373238027,0.7037263153651362,0.6443919996420544
A10,A,Role Based,30,0.38661218590171226,0.10955858908966926,0.34805873360017786,0.4263898988214365,0.777540520985051,0.04908372362100499,0.760420634195961,0.7952948464193202,0.0691008985042572,0.003081435008770275,0.0013379680294093972,0.7215648096018101,0.6105327881044812
A11,A,Role Based,30,0.5279908828107628,0.16968981717817658,0.4686687513898154,0.5888940404714255,0.7388614375107819,0.04031079129882408,0.7246462451677164,0.7534744654385388,0.1005539576212565,0.0038753231680415784,0.0012559606432634924,0.6648233527834461,0.5855793883403142
A12,A,Role Based,30,0.6231309762063599,0.11859206917726225,0.578786552145875,0.6635796086279744,0.768981643672242,0.05257721265760077,0.750043060849961,0.7875530941472687,0.09781059225400289,0.0030552198978197683,0.00613221428641377,0.6777704049825314,0.6835449553198283
A13,A,Constraint Based,30,0.30895263509006005,0.20444514078874734,0.23475316877918612,0.38233177674004887,0.7893887979095164,0.05607688585904008,0.7693660537829183,0.8095465109927933,0.03388723333676656,0.002697681774167792,0.0042901951891177875,0.5847025001725454,0.7931912647353278
A14,A,Constraint Based,30,0.3282910829441851,0.11416862818700894,0.28817550589281743,0.3704517734044919,0.7636527992065241,0.04405451116420801,0.7476257109115387,0.7792668309599372,0.06154636740684509,0.002103345947632891,0.001291571568319966,0.6886052961696209,0.5890379700395795
A15,A,Constraint Based,30,0.42473537914164994,0.14863345129274272,0.3714558316655548,0.47791444296197466,0.7374721606978352,0.04614740127943807,0.7215642668064775,0.754708405884028,0.07844081123669942,0.0027502676334929988,0.0013174243683644847,0.6335238658933144,0.5884605285194184
