seed_id,pool,dimension,n_articles,sensitivity_mean,sensitivity_std,sensitivity_ci_low,sensitivity_ci_high,pri_mean,pri_std,pri_ci_low,pri_ci_high,sms_drift_mean,cs_var_mean,faith_var_mean,cs_mean,faith_mean
A18,A,Analytical Framing,30,0.5603100479684869,0.17717368625246743,0.49585382318370985,0.622006416976397,0.7464633728159586,0.04164387670317914,0.7313998636376671,0.7615331181062209,0.08686578273773193,0.005995522428171329,0.015487164312529873,0.6622350561504668,0.5977096650335524
A19,A,Analytical Framing,30,0.7081641729406906,0.16986778887115597,0.6451261158232472,0.7682011817402079,0.6758053379524189,0.052835476429066205,0.6563029054669308,0.6946467781063453,0.14723592400550842,0.007057275707128192,0.020190116767272528,0.5464618438356481,0.5737522488485814
A20,A,Output Format,30,0.3228533307919566,0.18052923108343163,0.2581370119762382,0.38795482702754214,0.7593359924380632,0.06242649958291599,0.737430502276737,0.7812476289128466,0.055102215210596724,0.002319628634407979,0.009262483356666212,0.6844293795004683,0.567306382788552
A21,A,Output Format,30,0.2919883096667621,0.13607869174822565,0.24539200736999273,0.3411290860573715,0.7431029725091381,0.05345856461628307,0.7245195760018359,0.7628329088578283,0.043833019336064656,0.0020461758613892103,0.00562554760624164,0.6430437361957702,0.5422834903001785
A22,A,Output Format,30,0.3112646526255599,0.13677786338559117,0.261976873471203,0.3608822548365577,0.7591120147379322,0.059146545707385714,0.7382825691537866,0.7803953207513654,0.05112971862157186,0.0021935640613051127,0.005608272245290851,0.6882021717269509,0.5547725683285131
A23,A,Audience Perspective,30,0.6230328155278122,0.12719862757867417,0.5791828282346961,0.6709808523142412,0.705531462028343,0.04562979835726893,0.6897056168042509,0.7224258998005935,0.1306564748287201,0.004173159705938091,0.008717836546479464,0.6329953377532159,0.5449827349848217
A24,A,Audience Perspective,30,0.3478795387401125,0.17426640015269335,0.2872063121446044,0.4107313605895994,0.7610212187167005,0.058087984310029275,0.7408023233138606,0.782025474296736,0.0641154944896698,0.001289100572850565,0.011138053253182225,0.690497082669393,0.579973750313123
A25,A,Audience Perspective,30,0.4618189904380698,0.14199501212404195,0.4105429016169512,0.5117171765303853,0.745773724315882,0.04711490618258131,0.7294331599821016,0.7633270551423192,0.08244659105936686,0.0023691672109920087,0.009402357293644735,0.687302326985731,0.5527861851784918
A26,A,Emphasis Focus,30,0.6242018488516156,0.1620359460937265,0.5679274675180279,0.6821455970647099,0.7125063235410036,0.04991962874022237,0.6940908805710848,0.7292675849723443,0.12169743975003561,0.004999189461120412,0.013728718629806961,0.6505306931697611,0.5339982273264064
A27,A,Emphasis Focus,30,0.39615934432478805,0.19566717395784541,0.328640363416881,0.4676930652180819,0.7443956716910846,0.04998237266153313,0.7258919605133196,0.7617398637347583,0.06637993852297465,0.00328663612837391,0.009854927642069617,0.7012016231441347,0.5021083159993093
