pool,n_cells,sensitivity_mean,sensitivity_std,sensitivity_ci_low,sensitivity_ci_high,sensitivity_resid_mean,sms_drift_mean,pri_mean,pri_std,pri_ci_low,pri_ci_high
A,1050,0.48512238317608564,0.1731048541370338,0.4747852171288796,0.49554695511293245,-0.009369848421872447,0.08822052677472432,0.5790462952353344,0.08408169384981784,0.5739410761620538,0.5841463217137199
B,450,0.5347144392558002,0.169846986954362,0.518945309836187,0.5499726261952413,0.021862979651036323,0.1079059163067076,0.5387633552355722,0.08839694995956783,0.5307892748315527,0.5472814181383967
