seed_id,pool,dimension,n_articles,sensitivity_mean,sensitivity_std,sensitivity_ci_low,sensitivity_ci_high,pri_mean,pri_std,pri_ci_low,pri_ci_high,sms_drift_mean,cs_var_mean,faith_var_mean,cs_mean,faith_mean
A01,A,Direct Command,30,0.3000194574160551,0.15562968421561546,0.2437058733600178,0.3561057371581054,0.5879357607456293,0.08989354331532144,0.5568555441255668,0.6213154820211657,0.05201307932535807,0.002715660741380235,0.016840094853226455,0.3992775033185396,0.27597546525713473
A02,A,Direct Command,30,0.5634461863464533,0.12543262658417925,0.519394235045586,0.6096818434511896,0.5599110331284266,0.07595141429338693,0.5340304555467031,0.5873869860029448,0.14171997706095377,0.003810097033577492,0.033679112202309264,0.4071481564781059,0.2963886767418848
A03,A,Direct Command,30,0.39598732488325544,0.11161153666949732,0.3560980375806094,0.4349596953524572,0.6010183746123577,0.092789344223456,0.5686414294441925,0.6350784350813373,0.07022149960199991,0.0022197903026517896,0.02992226945285204,0.42871133458019933,0.31623202940035194
A04,A,Direct Command,30,0.4517645096731153,0.12841536794440173,0.4059937458305537,0.49758437569490765,0.6009902333958338,0.08899570635293363,0.5699048897372068,0.6334810379888558,0.08140164812405905,0.002048288621963027,0.03757594481538172,0.4296738669434871,0.33266015686094763
A05,A,Question Form,30,0.40725650433622423,0.12246418908144269,0.3618118050922838,0.4497294168334446,0.6061317419857483,0.08148963769224433,0.5772799620491267,0.6364336919065466,0.06295056939125061,0.005469661692828257,0.04755675323724968,0.3463881016477331,0.440304536662168
A06,A,Question Form,30,0.48424449633088723,0.151065743186377,0.42932810762730717,0.5385355097843006,0.5205612219497143,0.04834935515376898,0.5034982122356987,0.5382191368223251,0.0902429739634196,0.006200307180296425,0.026897554671547884,0.3310377658328828,0.1631807739742928
A07,A,Question Form,30,0.6707933066488769,0.13975323288511868,0.6197760868356681,0.7197002863019791,0.5659996702465045,0.0779996206497542,0.538437926500615,0.59456628398683,0.12675368189811706,0.007931153687945999,0.06694077350725852,0.32191274476545717,0.4161267293513649
A08,A,Question Form,30,0.6174038247720702,0.17287195753390983,0.5533097064709807,0.6764603346675562,0.5351405598110567,0.06670180818165691,0.5117138339561078,0.558951477930483,0.0922115703423818,0.0077000211556302565,0.05048889892828889,0.26137851982278304,0.32217082404014136
A09,A,Role Based,30,0.44937513898154324,0.14631897888652948,0.3956001084056037,0.5014078135423615,0.5978634178553649,0.09052047939128346,0.5668378537856299,0.6311038532056886,0.06988400220870972,0.0023715140131585883,0.037001784102000626,0.42901298131528914,0.3026499011139903
A10,A,Role Based,30,0.3610946186346453,0.12435826059818839,0.31765725761618857,0.40699089670891697,0.5909897380015643,0.0646415886988616,0.5681945354840786,0.6143492530181938,0.058694636821746825,0.0026897572296894446,0.043816858977810035,0.3989324106446737,0.299364996018509
