pool,n_cells,sensitivity_mean,sensitivity_std,sensitivity_ci_low,sensitivity_ci_high,sensitivity_resid_mean,sms_drift_mean,pri_mean,pri_std,pri_ci_low,pri_ci_high
A,1050,0.4900079894532863,0.1685521178280447,0.4797719733790781,0.5003335394231074,-0.005307194446031981,0.08860248219399225,0.5799209846434633,0.08390502914309726,0.5748802630912936,0.5849580772711467
B,450,0.5233146912756653,0.16788499350546207,0.5076767873026463,0.5387301534356237,0.012383453707408664,0.1108321668042077,0.5362918499234947,0.08813199403360449,0.5282289736601234,0.5446409872817831
