seed_id,pool,dimension,n_articles,sensitivity_mean,sensitivity_std,sensitivity_ci_low,sensitivity_ci_high,pri_mean,pri_std,pri_ci_low,pri_ci_high,sms_drift_mean,cs_var_mean,faith_var_mean,cs_mean,faith_mean
A01,A,Direct Command,5,0.46108433734939763,0.1274490509677145,0.3506024096385542,0.575301204819277,0.7103795975323479,0.07069387346059545,0.6522706336317918,0.7798836381725394,0.08700692653656006,0.0010933555468700385,0.039954759334099005,0.5736660748545503,0.5775969677915176
A02,A,Direct Command,5,0.6375903614457831,0.12705156801022136,0.5365461847389559,0.7581526104417671,0.7000825705023913,0.014897890210999805,0.6859173585367508,0.7126660051445167,0.11964302062988282,0.00687891374547889,0.0030305913143593927,0.6305983467874946,0.508921429514885
A03,A,Direct Command,5,0.3389558232931727,0.09132171599353042,0.2653815261044177,0.42177008032128394,0.6943970699298839,0.03472370071233434,0.6624815966685613,0.7248003660142422,0.08479170799255371,0.001492471355002526,0.002999451040908637,0.5920011464863907,0.4844534074266752
A04,A,Direct Command,5,0.3416465863453816,0.07825047427077508,0.27602409638554215,0.4105622489959839,0.719520486610464,0.06504546573630055,0.6767737871565116,0.783644859297201,0.07229022979736328,0.0022774092675040903,0.014606226696598376,0.6039358783783493,0.5482360843879481
A05,A,Question Form,5,0.5391164658634539,0.1368974574498304,0.4206425702811245,0.6575903614457831,0.6501725604813069,0.021177930327782334,0.6339437779535849,0.6692038702429869,0.11898404359817505,0.0016250757860428078,0.002527940858937624,0.5155567727431709,0.4692852298418681
A06,A,Question Form,5,0.40389558232931727,0.13010892903247337,0.28799196787148595,0.514578313253012,0.6971515558117475,0.03258821751315453,0.6705619496154384,0.7295559255381426,0.0869147777557373,0.0016717667669903953,0.0195648616191805,0.5851808405217234,0.5084166909257571
A07,A,Question Form,5,0.6029317269076305,0.2107706740222412,0.4171084337349398,0.7904819277108432,0.6196802450609512,0.04281972207282981,0.5834079806903999,0.6559525094315027,0.1697169780731201,0.00888026049942002,0.003828765939165261,0.4905907414193118,0.4634411071737607
A08,A,Question Form,5,0.6182329317269076,0.224986479202503,0.4307630522088354,0.8152208835341366,0.667388081790927,0.029394995618062712,0.6444304102082283,0.6958352452684671,0.10050326585769653,0.003535654583415785,0.027343012605703293,0.48829240030312276,0.546748192111651
A09,A,Role Based,5,0.41116465863453816,0.11102994890586704,0.31265060240963854,0.4999999999999999,0.7243457600737992,0.04128562853650405,0.6879210773855448,0.7578890980894749,0.07179150581359864,0.0019747526284072943,0.024111163945666383,0.6249228632209939,0.5373574410875638
A10,A,Role Based,5,0.43381526104417667,0.10411994936332657,0.3430120481927711,0.5246184738955822,0.7289894556066929,0.04161614867216452,0.7001159906051099,0.7702034906966564,0.08681778907775879,0.0032885447106940544,0.0067786689706329185,0.6720064557908655,0.5140572468439737
A11,A,Role Based,5,0.5605220883534136,0.2032894120584733,0.39068273092369477,0.7303614457831327,0.6984533549306484,0.030837534624463737,0.6699455089817445,0.7235051941680603,0.09873356819152831,0.0034944319061513533,0.004054149232840838,0.5914934786892199,0.5236962586641313
A12,A,Role Based,5,0.537710843373494,0.16831096754836802,0.41566265060240964,0.7019277108433735,0.6905459497506037,0.027021520333674453,0.6663879507913804,0.7132405792940885,0.08962210416793823,0.0022973500137631587,0.01785632902700409,0.5649288403518471,0.5146787891785303
A13,A,Constraint Based,5,0.36124497991967874,0.19318792782795807,0.18104417670682732,0.540505020080321,0.6740805558909017,0.03009818878112681,0.6479651198497949,0.6999810621254147,0.060293173789978026,0.003306043823423153,0.005330571964417299,0.5217079642589713,0.4624001516650121
A14,A,Constraint Based,5,0.2585542168674699,0.09057926446798997,0.16859437751004017,0.3275100401606426,0.7169949323011513,0.06022332307371379,0.6731185198624929,0.7752728910419422,0.06669656038284302,0.0013776239947490179,0.008820924719038153,0.582311246813217,0.559458480278651
A15,A,Constraint Based,5,0.46538152610441774,0.12110691977739114,0.35967871485943775,0.5710843373493976,0.7094222441185744,0.054828143517483725,0.6713472869464986,0.7616991829872132,0.08831634521484374,0.004142617258737434,0.006945429246356921,0.5927091179487907,0.5492023636897405
A16,A,Analytical Framing,5,0.5017269076305221,0.15119831769997313,0.36248995983935745,0.613012048192771,0.6888705151932649,0.015012149316580313,0.6765393856403729,0.7029794874328833,0.11867071390151977,0.0009498352112645991,0.017002293832039137,0.6306479222543074,0.4624481118594607
A17,A,Analytical Framing,5,0.6868674698795181,0.14763582066346606,0.5610843373493977,0.8155421686746989,0.6680777995877135,0.023679341013620105,0.6469966443483598,0.6894962348590296,0.12459307909011841,0.0036568166427033083,0.03428408387046937,0.5180995333249315,0.5463207782401394
A18,A,Analytical Framing,5,0.393293172690763,0.13776356681623034,0.280281124497992,0.5220883534136546,0.7300707661746404,0.03587119714084488,0.7022486746051373,0.7659180351595084,0.09112805128097534,0.0016475521795957077,0.015264420392490433,0.6123755719373515,0.6087621460358302
A19,A,Analytical Framing,5,0.7012851405622491,0.06115683959863416,0.65570281124498,0.7602008032128514,0.6546637785946712,0.025697204973837456,0.6334767117301623,0.6780606698989867,0.1416785717010498,0.003484172916433062,0.0059891871824225215,0.4974630723440603,0.5488925278186798
A20,A,Output Format,5,0.29939759036144575,0.14456866322101036,0.1640562248995984,0.41775100401606424,0.7206215214477135,0.06566888736032259,0.671036680166538,0.787300416380167,0.06413720846176148,0.000966357567952729,0.00022908437822677618,0.5895546635690626,0.5597290903329849
A21,A,Output Format,5,0.4819678714859439,0.23350937238125424,0.2809638554216868,0.6895180722891566,0.6646351756363724,0.044999922769051924,0.6251525873889525,0.7041177638837924,0.11885201930999756,0.0020554541258342605,0.011452741075521291,0.529136600901574,0.5079126921792825
A22,A,Output Format,5,0.26738955823293176,0.09485673426532931,0.1821686746987952,0.34775100401606424,0.7256797682948601,0.057895979369313406,0.6896976433992386,0.7833257551796925,0.06266762018203735,0.0009214055565360138,0.0053229491527414085,0.6131720641419127,0.5445463756720225
A23,A,Audience Perspective,5,0.6045783132530121,0.1253357871132498,0.5131726907630523,0.7265060240963855,0.6904700124695515,0.024887350879743503,0.6686370959499708,0.7123029289891323,0.12412921190261841,0.003799588711843668,0.012076788111325724,0.5756688539285363,0.5545503934224447
A24,A,Audience Perspective,5,0.37248995983935745,0.12356843022828065,0.2693172690763052,0.47558232931726907,0.6889701492010782,0.029255582033703945,0.6619962323128412,0.7128443950452865,0.08175873756408691,0.0004254795740967615,0.0025099070863927745,0.5667604907408303,0.49322988986968996
A25,A,Audience Perspective,5,0.46726907630522085,0.11786803084637362,0.36052208835341365,0.5726907630522089,0.7190984162485753,0.05115738676699936,0.6797046665942822,0.7660733705460828,0.0888641357421875,0.003050572437145541,0.006716326658282279,0.6146679612273699,0.5580411364634832
A26,A,Emphasis Focus,5,0.5701204819277109,0.19684637253229462,0.415582329317269,0.752730923694779,0.684597629105129,0.02495787159853354,0.6604129455115182,0.7034368110323946,0.11195755004882812,0.004082736385962072,0.030207722068478982,0.5907215130896797,0.4905124781730895
A27,A,Emphasis Focus,5,0.545140562248996,0.11445384337447696,0.43991967871485943,0.6402409638554217,0.6860048652771645,0.03403167058930217,0.6543198508311374,0.7138657820377595,0.09610671997070312,0.0029517481079187045,0.018357047902048937,0.5872796766541816,0.4755986657459289
A28,A,Emphasis Focus,5,0.6034538152610442,0.12810945345289304,0.503574297188755,0.7262248995983935,0.6823044875993942,0.03153796839593211,0.6574322694826584,0.7122425375764185,0.1204861044883728,0.004149673703006874,0.009475945538419323,0.5376882633239358,0.5692321489254633
A29,A,Tone Register,5,0.417710843373494,0.1356898734102913,0.2967068273092369,0.5316867469879518,0.7309324445434106,0.05494352008790321,0.6938644142257862,0.7840630228420099,0.07877941131591797,0.003640908337129839,0.013791442458072359,0.6290136022532817,0.5691577931245169
A30,A,Tone Register,5,0.5258232931726907,0.16919782142735076,0.37783132530120483,0.6738152610441768,0.710288385342329,0.05472242495274146,0.6685177554793846,0.7597147618539822,0.1046873688697815,0.0030230995982814014,0.011048294754913767,0.5895674070879653,0.5832589616378149
A31,A,Tone Register,5,0.5374698795180723,0.08327826118494143,0.4644578313253012,0.6104819277108434,0.7262999955927715,0.04392120757244574,0.6924435328061764,0.7665304870530958,0.09726815223693848,0.0030538438593574547,0.00628519739939801,0.6596860690103783,0.5372685293356578
A32,A,Tone Register,5,0.47273092369477904,0.1422278482802798,0.35080321285140564,0.5953012048192771,0.7120724961069913,0.03143687933299197,0.6818640624582768,0.7374482980676186,0.07187815904617309,0.002390800437119437,0.007444572378781632,0.5993683596190079,0.5241793354352315
A33,A,Completeness Framing,5,0.48566265060240965,0.11318923551042703,0.3891967871485944,0.578152610441767,0.6806545382455373,0.028638142080578084,0.6561899931446101,0.706056029917338,0.0892175316810608,0.0041067444194553505,0.0009046759635185333,0.5556124570016023,0.48750876386960346
A34,A,Completeness Framing,5,0.46317269076305223,0.12768543102981406,0.35622489959839354,0.5701204819277108,0.7270993980368038,0.05112640457427072,0.6920659466439453,0.7768994645029306,0.08373030424118041,0.0032740841714222297,0.030378924651802263,0.6545788247233781,0.5259557243203744
A35,A,Completeness Framing,5,0.4524899598393574,0.16805386799099006,0.3115261044176707,0.6114056224899598,0.720898127804964,0.033830175989158134,0.6960107795099417,0.7525167789864234,0.07742887735366821,0.0016463081853366726,0.006637135988379124,0.6088115729058619,0.5551425129175185
B01,B,Lexical Filter,5,0.6006024096385543,0.06668384159663418,0.537991967871486,0.6567068273092369,0.5897622430588191,0.04240559224187583,0.5542304167017723,0.6250752725601196,0.1344045877456665,0.0013072320286040893,0.004428581150705316,0.3196839204190415,0.5265388240416844
